id,text
1,The quick brown fox jumps over the lazy dog.
2,Artificial intelligence is transforming the world.
3,Machine learning enables computers to learn from data.
4,Natural language processing allows machines to understand human language.
5,Deep learning is a subset of machine learning that uses neural networks.
6,Data science combines statistics, computer science, and domain knowledge.
7,The future of technology is driven by innovation and creativity.
8,Text generation models can create human-like text based on input prompts.
9,Training a model requires a large dataset and computational resources.
10,Evaluation metrics help assess the performance of machine learning models.
